age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
67,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,1,0,19,United-States,<=50K
32,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,0,0,19,United-States,<=50K
60,Private,HS-grad,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,2319,0,59,United-States,<=50K
24,Private,HS-grad,Divorced,Machine-op-inspct,Husband,White,Male,0,0,44,United-States,<=50K
24,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,44,United-States,<=50K
50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,>50K
59,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,3,0,11,United-States,>50K
57,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
37,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
31,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,18,United-States,>50K
48,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0,0,39,United-States,<=50K
55,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,1,1901,55,United-States,>50K
62,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
30,Private,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,53,United-States,<=50K
64,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,3,0,39,United-States,<=50K
54,Private,10th,Divorced,Other-service,Unmarried,White,Female,0,0,29,United-States,<=50K
57,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,>50K
63,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,19,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,15,United-States,<=50K
38,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Male,3,0,50,United-States,<=50K
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,10,0,39,United-States,<=50K
32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,4157,0,49,United-States,<=50K
38,Private,Some-college,Separated,Other-service,Unmarried,Black,Female,0,0,50,United-States,<=50K
32,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,1,0,63,United-States,<=50K
45,Private,Bachelors,Widowed,Prof-specialty,Unmarried,White,Female,0,1792,29,United-States,<=50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,<=50K
21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,3,0,29,United-States,<=50K
60,Private,10th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,29,United-States,<=50K
27,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,<=50K
20,Private,Some-college,Never-married,Sales,Own-child,White,Female,3171,1781,36,United-States,<=50K
19,Private,Some-college,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,1,0,39,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,6,1928,57,United-States,>50K
41,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,99329,0,56,United-States,>50K
61,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,45,United-States,<=50K
47,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,1,0,28,United-States,<=50K
36,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
39,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,18,0,50,United-States,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,61,United-States,>50K
34,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,0,0,39,United-States,<=50K
29,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,19,United-States,<=50K
64,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,Mexico,<=50K
42,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,1842,45,United-States,<=50K
44,Private,Prof-school,Divorced,Prof-specialty,Unmarried,White,Female,0,0,18,United-States,<=50K
32,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,4,0,39,United-States,<=50K
65,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,2,0,29,United-States,<=50K
27,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,60,United-States,<=50K
32,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,3,0,40,United-States,<=50K
32,Private,Some-college,Never-married,Exec-managerial,Unmarried,White,Female,3,0,34,United-States,<=50K
57,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,98975,0,39,United-States,>50K
23,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,0,0,50,United-States,<=50K
44,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,1,0,50,United-States,<=50K
65,Private,HS-grad,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0,0,18,United-States,<=50K
64,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
43,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,12,0,55,United-States,>50K
31,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,7654,0,39,United-States,>50K
34,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,2,0,38,United-States,<=50K
39,Private,9th,Divorced,Machine-op-inspct,Unmarried,Black,Male,0,0,34,United-States,<=50K
18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,2,0,30,United-States,<=50K
57,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,59,United-States,<=50K
27,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,2,0,33,United-States,<=50K
36,Private,HS-grad,Divorced,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<=50K
40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,United-States,>50K
56,Self-emp-not-inc,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,0,0,39,United-States,<=50K
20,Private,10th,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,30,United-States,<=50K
32,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,2,2,40,United-States,>50K
43,Local-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,1,0,40,United-States,<=50K
37,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,40,United-States,>50K
24,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,1,0,28,United-States,<=50K
42,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,1730,37,United-States,<=50K
17,Private,11th,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,18,United-States,<=50K
27,Private,Some-college,Separated,Adm-clerical,Unmarried,Black,Female,0,0,22,United-States,<=50K
42,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,1947,60,United-States,>50K
38,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Female,0,1841,39,United-States,<=50K
27,Private,Bachelors,Never-married,Adm-clerical,Unmarried,White,Female,3758,0,35,United-States,<=50K
64,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,9,United-States,<=50K
49,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,2,0,39,United-States,>50K
40,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,1873,50,United-States,>50K
37,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,5,0,44,United-States,>50K
39,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,38,United-States,>50K
64,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,19,United-States,<=50K
29,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
70,Private,7th-8th,Widowed,Machine-op-inspct,Not-in-family,Black,Female,0,0,39,United-States,<=50K
27,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,19,United-States,>50K
25,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,3,0,40,United-States,<=50K
35,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K
21,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,1,2,24,United-States,<=50K
49,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,3479,1868,44,United-States,>50K
65,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,39,United-States,<=50K
36,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,28,United-States,<=50K
29,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,2,0,30,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,61,United-States,<=50K
22,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,38,United-States,<=50K
34,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,61,United-States,>50K
28,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1,0,35,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,3600,1828,28,United-States,<=50K
43,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,1,0,39,United-States,<=50K
39,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,7,0,30,United-States,<=50K
24,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
45,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0,0,36,United-States,<=50K
38,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
40,Local-gov,Some-college,Divorced,Adm-clerical,Other-relative,Black,Male,2,0,20,United-States,<=50K
19,Private,HS-grad,Never-married,Sales,Own-child,White,Female,1,0,35,United-States,<=50K
33,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,49,United-States,>50K
26,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,0,0,37,United-States,<=50K
37,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,57,United-States,<=50K
44,Private,Some-college,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K
51,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,69,United-States,>50K
31,Private,HS-grad,Married-civ-spouse,Other-service,Own-child,Black,Female,0,0,49,United-States,<=50K
36,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,34,United-States,<=50K
59,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,17,United-States,<=50K
34,Private,Some-college,Divorced,Sales,Own-child,White,Male,3,0,50,United-States,<=50K
33,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,3,0,49,United-States,<=50K
33,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
42,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,49,United-States,>50K
23,Private,Bachelors,Never-married,Sales,Own-child,White,Male,3438,0,25,United-States,<=50K
51,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,53,United-States,>50K
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,63,United-States,>50K
36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,3,1889,60,United-States,>50K
33,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,<=50K
46,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,1904,59,South,>50K
58,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,54,United-States,<=50K
22,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,28,United-States,<=50K
61,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,15,United-States,<=50K
64,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,57,United-States,>50K
37,Private,Masters,Never-married,Prof-specialty,Unmarried,White,Female,0,0,39,United-States,>50K
48,Self-emp-not-inc,Masters,Widowed,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,28,United-States,<=50K
32,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,3216,0,49,United-States,>50K
26,Private,Assoc-voc,Never-married,Tech-support,Own-child,Black,Male,0,0,28,United-States,<=50K
41,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,4,0,60,United-States,>50K
58,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
35,Private,HS-grad,Divorced,Machine-op-inspct,Other-relative,Black,Male,0,0,39,United-States,<=50K
41,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,53,United-States,<=50K
20,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,0,0,34,United-States,<=50K
47,Private,Masters,Widowed,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,15074,0,40,United-States,>50K
49,Self-emp-not-inc,Bachelors,Divorced,Sales,Not-in-family,White,Male,0,1994,49,United-States,>50K
50,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,0,0,10,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1955,60,United-States,<=50K
37,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,2,0,30,United-States,<=50K
26,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,3,0,49,United-States,<=50K
51,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,39,United-States,<=50K
32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,78,United-States,<=50K
63,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,7,United-States,>50K
61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,1,0,44,United-States,>50K
41,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K
20,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,24,United-States,<=50K
51,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,62,United-States,<=50K
57,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,1,0,39,United-States,>50K
19,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,39,United-States,<=50K
42,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
62,Private,7th-8th,Divorced,Other-service,Not-in-family,White,Male,0,0,36,United-States,<=50K
61,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,5,United-States,<=50K
23,Private,HS-grad,Separated,Sales,Unmarried,White,Female,0,0,11,United-States,<=50K
64,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,>50K
24,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,36,United-States,<=50K
57,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,50,United-States,>50K
66,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,1,0,40,United-States,<=50K
52,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
36,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,8098,0,45,United-States,>50K
48,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
51,Private,Some-college,Separated,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,<=50K
46,Private,Bachelors,Never-married,Protective-serv,Not-in-family,White,Male,3,0,56,United-States,<=50K
78,Private,Doctorate,Divorced,Prof-specialty,Wife,White,Female,0,2187,2,United-States,>50K
56,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,1,1872,59,United-States,>50K
25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,3995,0,40,United-States,<=50K
46,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,39,United-States,<=50K
